,can,QED,logP,molWt,herg,drd3,fold,profile
100,Cc1c(onc1C2CCN(CCc3ccccc3)CC2)c4ccc(Cl)cc4,0.565976898,5.72552,380.919,0,1,2,1
101,Cc1c(onc1c2ccc(Cl)cc2)C3CCN(CCc4ccccc4)CC3,0.565976898,5.72552,380.919,0,1,2,1
102,Cc1cc(CC(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2)on1,0.67561784,4.40512,451.611,0,1,2,1
103,Cc1cc(CC(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCOc45)CC2)on1,0.677182268,4.19892,453.583,0,1,2,1
104,Cc1cc(CC(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4coc5ccccc45)CC2)on1,0.535649801,5.21642,449.595,0,1,2,1
105,Cc1cc(O)c2C(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6C(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c56,0.123349857,5.08104,504.45,0,1,2,1
106,Cc1cc(on1)C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4nccc5OCCc45)CC2,0.740927172,2.81382,439.56,0,1,2,1
107,Cc1cc(on1)c2cccc(c2)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(cc5CC4)S(=O)(=O)C)CC3,0.465815442,4.83302,535.71,0,1,2,1
108,Cc1cc2OCCc2c(n1)N3CCN(CC[C@@H]4CC[C@H](CC4)NC(=O)C5CCOCC5)CC3,0.710065261,2.93862,456.631,0,1,2,1
109,Cc1cc2OCCc2c(n1)N3CCN(CC[C@@H]4CC[C@H](CC4)NC(=O)CC5CCOCC5)CC3,0.659474587,3.32872,470.658,0,1,2,1
110,Cc1cc2nc(C)c(CN3CCN(CC3)c4ccccn4)n2c(C)n1,0.734862574,2.37176,336.443,0,1,2,1
111,Cc1ccc(C)c(c1)C(=O)CCCN2CCC(CC2)c3ccc(Cl)cc3,0.599545573,5.79934,369.936,0,1,2,1
112,Cc1ccc(C)c(c1)C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2,0.767987031,4.38904,369.48,0,1,2,1
113,Cc1ccc(C)c(c1)C2CCN(CCCC(=O)c3cc(C)ccc3C)CC2,0.607919449,5.76278,363.545,0,1,2,1
114,Cc1ccc(C)c(c1)N2CCN(CCCC(=O)c3ccc(F)cc3)CC2,0.725566871,4.22764,354.469,0,1,2,1
115,Cc1ccc(C)c(c1)N2CCN(CCCCNC(=O)c3cc(C)ccc3C)CC2,0.714422044,4.25248,393.575,0,1,2,1
116,Cc1ccc(CCCNCCCOc2ccccc2)cc1,0.702690988,3.98632,283.415,0,1,2,1
117,Cc1ccc(CN2CCC(CC2)n3c(O)nc4ccccc34)c(Cl)c1,0.749438119,4.54082,355.869,0,1,2,1
118,Cc1ccc(CN2N=CC(=C(Cl)C2=O)N3CCNCC3)cc1NC(=O)c4ccc(cc4)c5ccccc5,0.394283406,4.58232,514.029,0,1,2,1
119,Cc1ccc(OCCCNCCOc2ccc(Cl)cc2)cc1,0.706248452,4.08592,319.832,0,1,2,1
120,Cc1ccc(OCCNCCCOc2ccccc2)cc1,0.716001834,3.43252,285.387,0,1,2,1
121,Cc1ccc(OCCNCCCSc2ccccc2)cc1,0.555260272,4.14582,301.455,0,1,2,1
122,Cc1ccc(cc1)C(=O)NCN2CCN(CC2)c3ccccc3C#N,0.932519382,2.3762,334.423,0,1,2,1
123,Cc1ccc(cc1)C2CN(CCCSc3nnc(c4ccc(cc4)c5noc(C)n5)n3C)CCO2,0.259567015,4.70464,490.633,0,1,2,1
124,Cc1ccc(cc1)N2CCN(Cc3ccc4NC(=O)COc4c3)CC2,0.935187638,2.64812,337.423,0,1,2,1
125,Cc1ccc(cc1)c2nc(O)n(C3CCN(Cc4ccccc4)CC3)c2C,0.731598385,4.70964,361.489,0,1,2,1
126,Cc1ccc(cc1C)C2CCN(Cc3ccc4NC(=O)COc4c3)CC2,0.909162246,4.01394,350.462,0,1,2,1
127,Cc1ccc(cn1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2,0.685512651,4.88322,447.623,0,1,2,1
128,Cc1ccc(cn1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCOc45)CC2,0.693957186,4.67702,449.595,0,1,2,1
129,Cc1ccc(cn1)N2CCN(CCN3Cc4ccccc4C3)C2=O,0.868636677,2.64782,322.412,0,1,2,1
130,Cc1ccc(cn1)c2nnc(SCCCN3CCc4ccc5oc(nc5c4CC3)C(F)(F)F)n2C,0.273498394,4.92852,502.566,0,1,2,1
131,Cc1ccc(nc1)N2CCN(CCCOc3ccc(F)cc3)CC2,0.761523723,3.12022,329.419,0,1,2,1
132,Cc1ccc(nc1)N2CCN(CCCSc3ccc(F)cc3)CC2,0.584994286,3.83352,345.487,0,1,2,1
133,Cc1ccc2C3=C(CN(Cc4ccccc4)CC3)C(=O)Oc2c1,0.67751881,3.65972,305.377,0,1,2,1
134,Cc1ccc2c(OCCN3CCC(Cc4cc5NC(=O)COc5cc4F)CC3)cc(F)cc2n1,0.579062635,4.48582,467.516,0,1,2,1
135,Cc1ccc2c(OCCN3CCC(Cc4ccc5OCC(=O)Nc5c4)CC3)cccc2n1,0.633562629,4.20762,431.536,0,1,2,1
136,Cc1ccc2c(OCCN3CCC(Cc4ccc5OCC(=O)Nc5c4F)CC3)cc(F)cc2n1,0.579062635,4.48582,467.516,0,1,2,1
137,Cc1ccc2c(OCCN3CCN(Cc4cccc5cccnc45)CC3)cccc2n1,0.472623199,4.28802,412.537,0,1,2,1
138,Cc1ccc2c(ccc(F)c2n1)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(cc5CC4)S(=O)(=O)C)CC3,0.485677349,4.86532,537.701,0,1,2,1
139,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc(c4)N5CCNC5=O)CC3,0.693681958,3.43752,415.541,0,1,2,1
140,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Cl)c(Cl)c6)n3C,0.206849542,6.40122,524.521,0,1,2,1
141,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6OCCN(c6cc5CC4)S(=O)(=O)C)n3C,0.239331136,4.08012,578.764,0,1,2,1
142,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(CC(F)(F)F)nc6cc5CC4)n3C,0.172401692,6.16772,566.653,0,1,2,1
143,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C(F)(F)F)n3C,0.186700966,6.08172,552.626,0,1,2,1
144,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)N7CCCCC7)n3C,0.173734838,6.05322,567.763,0,1,2,1
145,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5ccc6nc(oc6c5CC4)C(F)(F)F)n3C,0.186700966,6.08172,552.626,0,1,2,1
146,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5nc6ccc(Cl)cn6c5CC4)n3C,0.227068582,5.22282,518.09,0,1,2,1
147,Cc1ccc2nc(cn2c1)c3ccc(OCCCN4CCN(CC4)c5cccc(Cl)c5Cl)cc3,0.285723885,6.20762,495.454,0,1,2,1
148,Cc1ccc2nc3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3n2c1,0.246176489,4.87784,497.672,0,1,2,1
149,Cc1cccc(CN2CCC(CC2)n3c(C)c(nc3O)c4ccccc4)c1,0.731598385,4.70964,361.489,0,1,2,1
150,Cc1cccc(N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2)c1C,0.563793437,4.78884,415.581,0,1,2,1
