,can,QED,logP,molWt,herg,drd3,fold,profile
81,Cc1ccc(OCCNCCCOc2ccccc2C)cc1,0.715513047,3.74094,299.414,0,1,2,1
82,Cc1ccc(c(F)c1)C23CC2CN(CCCSc4nnc(c5ocnc5C)n4C)C3,0.419880234,3.98174,427.549,0,1,2,1
83,Cc1ccc(cc1)[C@H]2CCC[C@H]2NC[C@H](O)c3ccc(O)c4NC(=O)Sc34,0.541809215,3.56292,384.501,0,1,2,1
84,Cc1ccc(cc1C)N2CCN(Cc3ccc4NC(=O)COc4c3)CC2,0.92343808,2.95654,351.45,0,1,2,1
85,Cc1ccc(cc1C)N2CCN(Cc3ccc4OCC(=O)Nc4c3)CC2,0.92343808,2.95654,351.45,0,1,2,1
86,Cc1ccc(cn1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4coc5ccccc45)CC2,0.529138303,5.69452,445.607,0,1,2,1
87,Cc1ccc(cn1)C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4nccc5OCCc45)CC2,0.730299215,3.22082,449.599,0,1,2,1
88,Cc1ccc(s1)C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4cccc(Cl)c4Cl)CC2,0.562354525,5.86422,480.505,0,1,2,1
89,Cc1ccc2c(OCCN3CCC(Cc4ccc5OCC(=O)Nc5c4F)CC3)cc(Cl)cc2n1,0.534239427,5.00012,483.971,0,1,2,1
90,Cc1ccc2c(cccc2n1)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(cc5CC4)S(=O)(=O)C)CC3,0.509585709,4.72622,519.711,0,1,2,1
91,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc(c4)N5CCOC5=O)CC3,0.632097162,3.86452,416.525,0,1,2,1
92,Cc1ccc2c(cccc2n1)N3CCN(CCc4cccc(c4)n5cccn5)CC3,0.508244502,4.09362,397.526,0,1,2,1
93,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccccc6)n3C,0.286777674,5.09442,455.631,0,1,2,1
94,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6nc(C)sc6cc5CC4)n3C,0.209580982,5.83984,514.724,0,1,2,1
95,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6oc(nc6cc5CC4)C(C)(F)F)n3C,0.177777816,6.17462,548.663,0,1,2,1
96,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5cc6ocnc6cc5CC4)n3C,0.246260718,5.06292,484.629,0,1,2,1
97,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5ccc6oc(nc6c5CC4)C(F)(F)F)n3C,0.186700966,6.08172,552.626,0,1,2,1
98,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CCc5nc6ccc(cn6c5CC4)C(F)(F)F)n3C,0.202631361,5.58822,551.642,0,1,2,1
99,Cc1ccc2nc(cn2c1)c3ccc(OCCCCN4CCN(CC4)c5cccc(Cl)c5Cl)cc3,0.250824291,6.59772,509.481,0,1,2,1
100,Cc1cccc(N2CCN(CCCCNc3ccccn3)CC2)c1C,0.779944456,3.71274,338.499,0,1,2,1
101,Cc1cccc(c1)C(=O)NCN2CCN(CC2)c3ccccc3Cl,0.925888272,3.15792,343.858,0,1,2,1
102,Cc1cccc(c1)N2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)c4cccs4)CC2,0.756991655,4.55742,411.615,0,1,2,1
103,Cc1cccc(n1)N2CCN(CCCCNC(=O)c3oc4ccccc4c3)CC2,0.624076131,3.46842,392.503,0,1,2,1
104,Cc1cccc(n1)c2ccc(cc2)C(=O)NC\C=C\CN3CCN(CC3)c4cccc(Cl)c4Cl,0.441854529,5.47202,495.454,0,1,2,1
105,Cc1ccccc1N2CCN(CCCCNC(=O)Oc3cccc4ccccc34)CC2,0.558969355,4.83902,417.553,0,1,2,1
106,Cc1ccccc1N2CCN(CCCCc3onc(c3)c4ccccc4)CC2,0.555686049,4.79492,375.516,0,1,2,1
107,Cc1ccccc1N2CCN(CCCNC(=O)Oc3cccc4ccccc34)CC2,0.617893432,4.44892,403.526,0,1,2,1
108,Cc1ccccc1N2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)c4cccs4)CC2,0.756991655,4.55742,411.615,0,1,2,1
109,Cc1ccccc1[C@H]2CCC[C@H]2NC[C@H](O)c3ccc(O)c4NC(=O)Sc34,0.541809215,3.56292,384.501,0,1,2,1
110,Cc1ccccc1c2ccc(cc2)C(=O)NCCCCN3CCc4ccc(OS(=O)(=O)C(F)(F)F)cc4C3,0.219262558,5.45872,546.611,0,1,2,1
111,Cc1cccn2cc(nc12)c3ccc(OCCCCN4CCN(CC4)c5cccc(Cl)c5Cl)cc3,0.250824291,6.59772,509.481,0,1,2,1
112,Cc1ccn(CC(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4noc5cc(F)ccc45)CC2)n1,0.556846002,4.41652,467.589,0,1,2,1
113,Cc1cnc(N2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)C4CCOCC4)CC2)c5ccoc15,0.71690718,3.74992,454.615,0,1,2,1
114,Cc1nc(C)c(s1)c2nnc(SCCCN3CCC4(CCc5ccc(F)cc45)C3)n2C,0.394274814,4.76664,457.644,0,1,2,1
115,Cc1nc(ccc1c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C)C(=O)O,0.313414763,5.26432,531.604,0,1,2,1
116,Cc1nc2c(OCCNCc3ccccc3)cccc2[nH]1,0.682781076,3.03992,281.359,0,1,2,1
117,Cc1ncccc1c2nnc(SCCCN3C[C@@H]4C[C@@]4(C3)c5ccc(cc5)C(F)(F)F)n2C,0.358614073,4.96002,473.568,0,1,2,1
118,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cc(ccc5F)C(F)(F)F)n2C,0.277243928,4.69212,481.519,0,1,2,1
119,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(F)cc5)n2C,0.435083945,3.67332,413.522,0,1,2,1
120,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5ccc(cc5)C(F)(F)F)n2C,0.378448614,4.55302,463.529,0,1,2,1
121,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(Cl)c5)n2C,0.414314467,4.18762,429.977,0,1,2,1
122,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(c5)S(F)(F)(F)(F)F)n2C,0.200133128,6.19162,521.581,0,1,2,1
123,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5c(F)cccc5F)n2C,0.39307185,3.74962,460.554,0,1,2,1
124,Cc1ncoc1c2nnc(SCCCN3CC4CCN(C4C3)c5ccc(cc5F)C(F)(F)F)n2C,0.260963733,4.62932,510.561,0,1,2,1
125,Cc1ncoc1c2nnc(SCCCN3CCC4(CC4C3)c5ccccc5)n2C,0.435340802,3.92432,409.559,0,1,2,1
126,Cc1ncoc1c2nnc(SCCCN3CCC4(CCOc5ccccc45)C3)n2C,0.440627205,3.68692,425.558,0,1,2,1
127,Cc1ncoc1c2nnc(SCCCN3CCC4CC4(C3)c5ccc(cc5)C(F)(F)F)n2C,0.354813669,4.94312,477.556,0,1,2,1
128,Cc1ncoc1c2nnc(SCCCN3CCC4CC4(C3)c5ccccc5)n2C,0.435340802,3.92432,409.559,0,1,2,1
129,Cc1ncoc1c2nnc(SCCCN3CCOC(C3)c4ccc(cc4)C(F)(F)F)n2C,0.377921657,4.35302,467.517,0,1,2,1
130,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(F)cc5F)C3)n2C,0.396424027,4.41852,445.539,0,1,2,1
131,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccccc5C(F)(F)F)C3)n2C,0.346152054,5.15912,477.556,0,1,2,1
132,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@H]4c5ccc(F)cc5C(F)(F)F)C3)n2C,0.251977798,5.29822,495.546,0,1,2,1
133,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@H]4c5ccccc5C(F)(F)F)C3)n2C,0.346152054,5.15912,477.556,0,1,2,1
134,Cc1ncoc1c2nnc(SCCCN3CCc4cc5onc(C)c5cc4CC3)n2C,0.331791407,3.81114,438.557,0,1,2,1
135,Cc1ncoc1c2nnc(SCCCN3CCc4ccc5nc(oc5c4CC3)C(C)(F)F)n2C,0.275313475,4.61442,488.564,0,1,2,1
136,Cc1ncoc1c2nnc(SCCCNC3CC4CC4(C3)c5ccccc5)n2C,0.448440165,3.97062,409.559,0,1,2,1
137,Cc1ncoc1c2nnc(SCCCN[C@H]3CC[C@@]4(CC34)c5ccc(cc5)C(F)(F)F)n2C,0.364237756,4.98942,477.556,0,1,2,1
138,Cc1nn(cc1c2ccccc2)C3CCN(Cc4cccc(Cl)c4)CC3,0.621061228,5.34902,365.908,0,1,2,1
139,Cc1nn(cc1c2ccccc2)C3CCN(Cc4ccccc4)CC3,0.691029625,4.69562,331.463,0,1,2,1
140,Cc1oc(c(C)n1)c2nnc(SCCCN3CCC4CC4(CC3)c5ccc(cc5)C(F)(F)F)n2C,0.305919101,5.64164,505.61,0,1,2,1
141,Cc1oc(cn1)c2cccc(c2)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(cc5CC4)S(=O)(=O)C)CC3,0.465815442,4.83302,535.71,0,1,2,1
142,Cc1oc(nc1)c2cccc(c2)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(OS(=O)(=O)C)cc5CC4)CC3,0.402618833,4.76792,551.709,0,1,2,1
143,Cc1oc2c(Br)c3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2n1,0.177542961,6.13384,577.552,0,1,2,1
144,Cc1oc2c(C)c3CCN(CCCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2n1,0.188220456,6.06986,526.71,0,1,2,1
145,Cc1oc2cc3CCN(CCCSc4nnc(c5ccc(cc5)C(F)(F)F)n4C)CCc3cc2n1,0.255682762,5.53352,501.578,0,1,2,1
146,Cc1oc2cc3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc2n1,0.230110991,5.37134,498.656,0,1,2,1
147,Cc1oc2cc3CCN(CCCSc4nnc(c5cccnc5)n4C)CCc3cc2n1,0.336443142,3.90972,434.569,0,1,2,1
148,Cc1onc(n1)c2cccc(c2)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(OS(=O)(=O)C)cc5CC4)CC3,0.414481267,4.16292,552.697,0,1,2,1
149,Cc1onc(n1)c2cccc(c2)C(=O)N[C@@H]3CC[C@@H](CCN4CCc5ccc(cc5CC4)S(=O)(=O)C)CC3,0.48178358,4.22802,536.698,0,1,2,1
150,ClC1=C(C=NN(Cc2cccc(NC(=O)c3ccc(cc3)c4ccccc4)c2)C1=O)N5CCNCC5,0.413896139,4.2739,500.002,0,1,2,1
151,ClC1CC(C1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCOc45)CC2,0.644523144,4.6772,447.019,0,1,2,1
152,Clc1cc(Cl)cc(c1)N2CCN(CCN3CCCCCC3)C2=O,0.811758353,4.1114,356.297,0,1,2,1
153,Clc1cc(Cl)cc(c1)N2CCN(CCN3Cc4ccccc4C3)C2=O,0.797745864,4.2512,376.287,0,1,2,1
154,Clc1ccc(N2CCN(CCCCN3CCn4c(cc5ccccc45)C3=O)CC2)c(Cl)c1,0.474255638,5.0063,471.432,0,1,2,1
155,Clc1ccc(N2CCN(CCCCNC(=O)c3cc4cc(Cl)ccc4[nH]3)CC2)c(Cl)c1,0.442428371,5.4603,479.839,0,1,2,1
156,Clc1ccc(NC(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4cccc5OCOc45)CC2)cc1,0.606193331,4.9613,485.028,0,1,2,1
157,Clc1ccc(cc1)C(=O)CCCN2CCc3ccccc3CC2,0.758385827,4.4037,327.855,0,1,2,1
158,Clc1ccc(cc1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCCc45)CC2,0.581597346,5.8332,467.053,0,1,2,1
159,Clc1ccc(cc1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4cccc5OCOc45)CC2,0.596752974,5.627,469.025,0,1,2,1
160,Clc1ccc(cc1)C(=O)N[C@@H]2CC[C@@H](CCN3CCC(CC3)c4coc5ccccc45)CC2,0.444088985,6.6445,465.037,0,1,2,1
161,Clc1ccc(cc1)C(N2CCN(CCCCN3C(=O)c4ccccc4C3=O)CC2)c5ccccc5,0.326419078,5.1234,488.031,0,1,2,1
162,Clc1ccc(cc1)N2CC3CC2CN3Cc4c[nH]c5ncccc45,0.790889705,3.6794,338.842,0,1,2,1
163,Clc1ccc(cc1)N2CCC3CCC(C2)N3Cc4c[nH]c5ncccc45,0.742856991,4.4596,366.896,0,1,2,1
164,Clc1ccc(cc1)N2CCCN(CCCCc3nc4ccccc4s3)CC2,0.511034671,5.4847,399.991,0,1,2,1
165,Clc1ccc(cc1)N2CCCN(CCCc3nc4ccccc4s3)CC2,0.609022252,5.0946,385.964,0,1,2,1
166,Clc1ccc(cc1)N2CCCN(Cc3c[nH]c4ncccc34)CC2,0.784285755,3.9286,340.858,0,1,2,1
